student_id,course_id,semester,grade
VU22CSEN0300001,MECH3001,2024-Spring,B
VU22CSEN0300001,MECH2001,2024-Spring,B
VU22CSEN0300001,CSE3003,2024-Spring,C
VU22CSEN0300001,CSE2001,2024-Spring,B
VU22MECHN0300002,CSE4002,2024-Spring,C
VU22MECHN0300002,MECH2001,2024-Spring,A
VU22MECHN0300002,MECH3001,2024-Spring,C
VU22MECHN0300002,CSE2002,2024-Spring,A
VU22CSEN0300003,MECH1001,2024-Spring,B
VU22CSEN0300003,CSE4002,2024-Spring,A
VU22CSEN0300003,CSE4001,2024-Spring,B
VU22CSEN0300003,CSE1002,2024-Spring,A
VU22CSEN0300004,CSE3001,2024-Spring,A
VU22CSEN0300004,MECH2001,2024-Spring,B
VU22CSEN0300004,CSE1002,2024-Spring,C
VU22CSEN0300004,CSE4001,2024-Spring,A
VU22MECHN0300005,CSE4001,2024-Spring,C
VU22MECHN0300005,CSE3003,2024-Spring,A
VU22MECHN0300005,MECH4001,2024-Spring,A
VU22MECHN0300005,CSE3001,2024-Spring,A
VU22MECHN0300006,MECH4001,2024-Spring,C
VU22MECHN0300006,CSE2001,2024-Spring,C
VU22MECHN0300006,MECH2001,2024-Spring,C
VU22MECHN0300006,CSE3003,2024-Spring,A
VU22MECHN0300007,CSE2002,2024-Spring,C
VU22MECHN0300007,CSE4001,2024-Spring,C
VU22MECHN0300007,CSE2001,2024-Spring,A
VU22MECHN0300007,MECH4001,2024-Spring,B
VU22CSEN0300008,CSE4002,2024-Spring,C
VU22CSEN0300008,CSE3003,2024-Spring,B
VU22CSEN0300008,CSE1002,2024-Spring,C
VU22CSEN0300008,CSE4001,2024-Spring,B
VU22MECHN0300009,MECH4001,2024-Spring,A
VU22MECHN0300009,CSE2003,2024-Spring,B
VU22MECHN0300009,CSE1001,2024-Spring,B
VU22MECHN0300009,CSE3003,2024-Spring,A
VU22MECHN0300010,CSE1002,2024-Spring,B
VU22MECHN0300010,MECH1001,2024-Spring,A
VU22MECHN0300010,CSE3001,2024-Spring,B
VU22MECHN0300010,CSE4002,2024-Spring,B
VU22CSEN0300011,MECH2001,2024-Spring,C
VU22CSEN0300011,CSE1001,2024-Spring,A
VU22CSEN0300011,CSE3003,2024-Spring,B
VU22CSEN0300011,MECH2002,2024-Spring,C
VU22MECHN0300012,CSE2001,2024-Spring,B
VU22MECHN0300012,CSE4001,2024-Spring,B
VU22MECHN0300012,CSE3002,2024-Spring,B
VU22MECHN0300012,CSE4002,2024-Spring,A
VU22MECHN0300013,CSE1002,2024-Spring,A
VU22MECHN0300013,CSE4001,2024-Spring,C
VU22MECHN0300013,CSE2001,2024-Spring,B
VU22MECHN0300013,CSE4002,2024-Spring,B
VU22CSEN0300014,CSE3003,2024-Spring,A
VU22CSEN0300014,CSE3002,2024-Spring,A
VU22CSEN0300014,MECH1001,2024-Spring,B
VU22CSEN0300014,MECH3001,2024-Spring,C
VU22MECHN0300015,CSE2002,2024-Spring,B
VU22MECHN0300015,MECH1001,2024-Spring,A
VU22MECHN0300015,MECH4001,2024-Spring,A
VU22MECHN0300015,CSE3002,2024-Spring,A
VU22CSEN0300016,MECH3001,2024-Spring,B
VU22CSEN0300016,CSE4001,2024-Spring,C
VU22CSEN0300016,MECH2001,2024-Spring,B
VU22CSEN0300016,MECH1001,2024-Spring,B
VU22CSEN0300017,CSE2002,2024-Spring,A
VU22CSEN0300017,CSE3002,2024-Spring,A
VU22CSEN0300017,MECH3001,2024-Spring,B
VU22CSEN0300017,CSE2003,2024-Spring,A
VU22CSEN0300018,CSE3001,2024-Spring,B
VU22CSEN0300018,CSE2002,2024-Spring,A
VU22CSEN0300018,MECH2002,2024-Spring,B
VU22CSEN0300018,CSE4001,2024-Spring,A
VU22CSEN0300019,CSE3001,2024-Spring,B
VU22CSEN0300019,CSE2002,2024-Spring,C
VU22CSEN0300019,CSE1001,2024-Spring,A
VU22CSEN0300019,CSE2003,2024-Spring,C
VU22MECHN0300020,CSE4002,2024-Spring,C
VU22MECHN0300020,MECH2002,2024-Spring,C
VU22MECHN0300020,CSE2003,2024-Spring,C
VU22MECHN0300020,CSE2001,2024-Spring,C
VU22CSEN0300021,CSE3001,2024-Spring,A
VU22CSEN0300021,CSE2001,2024-Spring,A
VU22CSEN0300021,CSE2003,2024-Spring,C
VU22CSEN0300021,CSE4001,2024-Spring,A
VU22MECHN0300022,CSE2001,2024-Spring,C
VU22MECHN0300022,MECH2001,2024-Spring,B
VU22MECHN0300022,MECH3001,2024-Spring,A
VU22MECHN0300022,CSE3002,2024-Spring,A
VU22CSEN0300023,MECH3001,2024-Spring,B
VU22CSEN0300023,CSE2001,2024-Spring,A
VU22CSEN0300023,CSE2002,2024-Spring,C
VU22CSEN0300023,CSE3002,2024-Spring,C
VU22CSEN0300024,CSE2002,2024-Spring,A
VU22CSEN0300024,CSE2001,2024-Spring,B
VU22CSEN0300024,MECH2001,2024-Spring,A
VU22CSEN0300024,CSE4002,2024-Spring,C
VU22MECHN0300025,CSE4001,2024-Spring,B
VU22MECHN0300025,CSE1001,2024-Spring,A
VU22MECHN0300025,CSE2002,2024-Spring,B
VU22MECHN0300025,MECH1001,2024-Spring,A
VU22MECHN0300026,MECH2001,2024-Spring,A
VU22MECHN0300026,CSE3001,2024-Spring,B
VU22MECHN0300026,CSE1002,2024-Spring,B
VU22MECHN0300026,CSE3003,2024-Spring,C
VU22CSEN0300027,CSE3003,2024-Spring,B
VU22CSEN0300027,CSE2003,2024-Spring,A
VU22CSEN0300027,MECH4001,2024-Spring,C
VU22CSEN0300027,CSE3002,2024-Spring,A
VU22MECHN0300028,MECH1001,2024-Spring,C
VU22MECHN0300028,CSE3003,2024-Spring,B
VU22MECHN0300028,CSE3001,2024-Spring,B
VU22MECHN0300028,MECH3001,2024-Spring,B
VU22CSEN0300029,CSE2001,2024-Spring,A
VU22CSEN0300029,MECH1001,2024-Spring,A
VU22CSEN0300029,MECH2001,2024-Spring,B
VU22CSEN0300029,CSE1001,2024-Spring,C
VU22MECHN0300030,CSE2002,2024-Spring,A
VU22MECHN0300030,CSE4001,2024-Spring,C
VU22MECHN0300030,MECH4001,2024-Spring,C
VU22MECHN0300030,CSE3002,2024-Spring,C
VU22CSEN0300031,CSE2003,2024-Spring,B
VU22CSEN0300031,CSE3003,2024-Spring,A
VU22CSEN0300031,CSE1002,2024-Spring,A
VU22CSEN0300031,CSE3002,2024-Spring,B
VU22MECHN0300032,MECH3001,2024-Spring,B
VU22MECHN0300032,MECH1001,2024-Spring,B
VU22MECHN0300032,CSE1001,2024-Spring,C
VU22MECHN0300032,CSE3001,2024-Spring,B
VU22CSEN0300033,CSE2002,2024-Spring,C
VU22CSEN0300033,CSE2001,2024-Spring,B
VU22CSEN0300033,CSE4002,2024-Spring,C
VU22CSEN0300033,MECH4001,2024-Spring,A
VU22MECHN0300034,CSE2002,2024-Spring,B
VU22MECHN0300034,CSE3003,2024-Spring,B
VU22MECHN0300034,MECH1001,2024-Spring,A
VU22MECHN0300034,MECH3001,2024-Spring,B
VU22MECHN0300035,MECH3001,2024-Spring,A
VU22MECHN0300035,CSE2003,2024-Spring,A
VU22MECHN0300035,MECH2002,2024-Spring,C
VU22MECHN0300035,MECH2001,2024-Spring,A
VU22MECHN0300036,MECH4001,2024-Spring,B
VU22MECHN0300036,CSE4001,2024-Spring,C
VU22MECHN0300036,CSE3003,2024-Spring,A
VU22MECHN0300036,CSE2003,2024-Spring,C
VU22MECHN0300037,CSE4002,2024-Spring,B
VU22MECHN0300037,MECH4001,2024-Spring,B
VU22MECHN0300037,MECH1001,2024-Spring,C
VU22MECHN0300037,CSE1001,2024-Spring,A
VU22CSEN0300038,MECH1001,2024-Spring,C
VU22CSEN0300038,CSE3002,2024-Spring,C
VU22CSEN0300038,CSE3003,2024-Spring,A
VU22CSEN0300038,CSE2003,2024-Spring,A
VU22CSEN0300039,CSE2003,2024-Spring,B
VU22CSEN0300039,CSE3002,2024-Spring,A
VU22CSEN0300039,CSE3001,2024-Spring,C
VU22CSEN0300039,MECH2002,2024-Spring,A
VU22MECHN0300040,MECH1001,2024-Spring,A
VU22MECHN0300040,CSE1001,2024-Spring,A
VU22MECHN0300040,CSE4001,2024-Spring,A
VU22MECHN0300040,CSE3003,2024-Spring,C
VU22MECHN0300041,CSE2002,2024-Spring,C
VU22MECHN0300041,CSE4002,2024-Spring,C
VU22MECHN0300041,CSE3001,2024-Spring,C
VU22MECHN0300041,CSE2003,2024-Spring,B
VU22MECHN0300042,CSE3002,2024-Spring,B
VU22MECHN0300042,CSE2003,2024-Spring,A
VU22MECHN0300042,CSE3003,2024-Spring,A
VU22MECHN0300042,CSE1002,2024-Spring,C
VU22MECHN0300043,MECH4001,2024-Spring,B
VU22MECHN0300043,MECH3001,2024-Spring,C
VU22MECHN0300043,CSE3002,2024-Spring,A
VU22MECHN0300043,CSE1001,2024-Spring,C
VU22CSEN0300044,MECH3001,2024-Spring,A
VU22CSEN0300044,CSE2001,2024-Spring,A
VU22CSEN0300044,CSE2003,2024-Spring,C
VU22CSEN0300044,CSE3001,2024-Spring,A
VU22CSEN0300045,CSE1001,2024-Spring,A
VU22CSEN0300045,MECH4001,2024-Spring,C
VU22CSEN0300045,MECH3001,2024-Spring,C
VU22CSEN0300045,CSE3002,2024-Spring,B
VU22CSEN0300046,CSE4001,2024-Spring,B
VU22CSEN0300046,CSE2003,2024-Spring,B
VU22CSEN0300046,CSE4002,2024-Spring,B
VU22CSEN0300046,CSE1002,2024-Spring,B
VU22MECHN0300047,CSE2002,2024-Spring,A
VU22MECHN0300047,MECH4001,2024-Spring,C
VU22MECHN0300047,CSE2003,2024-Spring,A
VU22MECHN0300047,CSE1001,2024-Spring,C
VU22CSEN0300048,MECH4001,2024-Spring,C
VU22CSEN0300048,CSE1001,2024-Spring,B
VU22CSEN0300048,MECH1001,2024-Spring,C
VU22CSEN0300048,CSE1002,2024-Spring,C
VU22CSEN0300049,MECH1001,2024-Spring,A
VU22CSEN0300049,CSE2002,2024-Spring,B
VU22CSEN0300049,MECH2001,2024-Spring,B
VU22CSEN0300049,CSE1001,2024-Spring,B
VU22CSEN0300050,CSE4002,2024-Spring,C
VU22CSEN0300050,CSE2001,2024-Spring,A
VU22CSEN0300050,MECH4001,2024-Spring,C
VU22CSEN0300050,MECH3001,2024-Spring,B
VU22MECHN0300051,MECH1001,2024-Spring,B
VU22MECHN0300051,MECH3001,2024-Spring,C
VU22MECHN0300051,CSE1002,2024-Spring,B
VU22MECHN0300051,CSE2002,2024-Spring,B
VU22CSEN0300052,CSE2003,2024-Spring,C
VU22CSEN0300052,CSE4001,2024-Spring,C
VU22CSEN0300052,CSE2002,2024-Spring,B
VU22CSEN0300052,CSE3003,2024-Spring,A
VU22CSEN0300053,CSE2001,2024-Spring,B
VU22CSEN0300053,MECH1001,2024-Spring,C
VU22CSEN0300053,MECH2001,2024-Spring,A
VU22CSEN0300053,CSE3001,2024-Spring,B
VU22CSEN0300054,CSE3001,2024-Spring,B
VU22CSEN0300054,CSE2002,2024-Spring,C
VU22CSEN0300054,CSE3003,2024-Spring,C
VU22CSEN0300054,CSE4001,2024-Spring,B
VU22MECHN0300055,MECH3001,2024-Spring,A
VU22MECHN0300055,CSE3002,2024-Spring,C
VU22MECHN0300055,MECH2001,2024-Spring,A
VU22MECHN0300055,MECH4001,2024-Spring,A
VU22CSEN0300056,MECH2002,2024-Spring,C
VU22CSEN0300056,MECH1001,2024-Spring,C
VU22CSEN0300056,CSE3002,2024-Spring,A
VU22CSEN0300056,CSE4001,2024-Spring,B
VU22CSEN0300057,CSE2003,2024-Spring,B
VU22CSEN0300057,MECH3001,2024-Spring,B
VU22CSEN0300057,CSE3003,2024-Spring,A
VU22CSEN0300057,CSE3002,2024-Spring,C
VU22CSEN0300058,CSE2003,2024-Spring,C
VU22CSEN0300058,CSE3001,2024-Spring,C
VU22CSEN0300058,MECH3001,2024-Spring,C
VU22CSEN0300058,CSE2001,2024-Spring,B
VU22MECHN0300059,CSE2003,2024-Spring,A
VU22MECHN0300059,CSE4002,2024-Spring,A
VU22MECHN0300059,CSE4001,2024-Spring,A
VU22MECHN0300059,MECH4001,2024-Spring,A
VU22MECHN0300060,CSE3003,2024-Spring,A
VU22MECHN0300060,CSE1002,2024-Spring,A
VU22MECHN0300060,CSE1001,2024-Spring,B
VU22MECHN0300060,CSE2002,2024-Spring,A
VU22CSEN0300061,MECH3001,2024-Spring,C
VU22CSEN0300061,MECH4001,2024-Spring,A
VU22CSEN0300061,CSE2001,2024-Spring,A
VU22CSEN0300061,CSE3003,2024-Spring,C
VU22MECHN0300062,MECH2002,2024-Spring,C
VU22MECHN0300062,CSE1001,2024-Spring,B
VU22MECHN0300062,CSE4001,2024-Spring,C
VU22MECHN0300062,MECH2001,2024-Spring,C
VU22CSEN0300063,MECH3001,2024-Spring,C
VU22CSEN0300063,MECH2001,2024-Spring,C
VU22CSEN0300063,MECH1001,2024-Spring,B
VU22CSEN0300063,CSE3002,2024-Spring,A
VU22MECHN0300064,CSE1002,2024-Spring,C
VU22MECHN0300064,CSE2001,2024-Spring,B
VU22MECHN0300064,MECH1001,2024-Spring,A
VU22MECHN0300064,MECH4001,2024-Spring,C
VU22CSEN0300065,MECH1001,2024-Spring,A
VU22CSEN0300065,CSE3002,2024-Spring,A
VU22CSEN0300065,MECH4001,2024-Spring,C
VU22CSEN0300065,CSE3001,2024-Spring,A
VU22MECHN0300066,MECH1001,2024-Spring,C
VU22MECHN0300066,MECH2001,2024-Spring,A
VU22MECHN0300066,CSE2001,2024-Spring,A
VU22MECHN0300066,MECH2002,2024-Spring,A
VU22MECHN0300067,CSE2001,2024-Spring,C
VU22MECHN0300067,MECH4001,2024-Spring,C
VU22MECHN0300067,CSE3001,2024-Spring,B
VU22MECHN0300067,MECH2001,2024-Spring,A
VU22CSEN0300068,CSE3002,2024-Spring,C
VU22CSEN0300068,CSE2001,2024-Spring,A
VU22CSEN0300068,CSE1001,2024-Spring,A
VU22CSEN0300068,MECH3001,2024-Spring,C
VU22CSEN0300069,CSE1002,2024-Spring,B
VU22CSEN0300069,CSE3001,2024-Spring,A
VU22CSEN0300069,MECH2001,2024-Spring,C
VU22CSEN0300069,MECH1001,2024-Spring,B
VU22CSEN0300070,CSE2001,2024-Spring,A
VU22CSEN0300070,MECH4001,2024-Spring,A
VU22CSEN0300070,MECH1001,2024-Spring,A
VU22CSEN0300070,MECH2001,2024-Spring,B
VU22CSEN0300071,CSE4002,2024-Spring,B
VU22CSEN0300071,CSE1001,2024-Spring,A
VU22CSEN0300071,CSE1002,2024-Spring,B
VU22CSEN0300071,CSE3002,2024-Spring,B
VU22CSEN0300072,MECH3001,2024-Spring,C
VU22CSEN0300072,CSE1001,2024-Spring,C
VU22CSEN0300072,CSE2002,2024-Spring,B
VU22CSEN0300072,MECH4001,2024-Spring,B
VU22CSEN0300073,CSE2002,2024-Spring,A
VU22CSEN0300073,CSE2003,2024-Spring,C
VU22CSEN0300073,CSE1001,2024-Spring,A
VU22CSEN0300073,CSE2001,2024-Spring,C
VU22MECHN0300074,CSE2002,2024-Spring,A
VU22MECHN0300074,MECH1001,2024-Spring,C
VU22MECHN0300074,MECH2001,2024-Spring,A
VU22MECHN0300074,MECH3001,2024-Spring,C
VU22MECHN0300075,CSE3002,2024-Spring,B
VU22MECHN0300075,MECH2002,2024-Spring,A
VU22MECHN0300075,MECH2001,2024-Spring,B
VU22MECHN0300075,CSE2001,2024-Spring,A
VU22MECHN0300076,MECH2002,2024-Spring,A
VU22MECHN0300076,CSE2003,2024-Spring,B
VU22MECHN0300076,CSE1001,2024-Spring,A
VU22MECHN0300076,CSE3003,2024-Spring,C
VU22CSEN0300077,MECH1001,2024-Spring,C
VU22CSEN0300077,CSE4002,2024-Spring,A
VU22CSEN0300077,MECH4001,2024-Spring,A
VU22CSEN0300077,CSE2001,2024-Spring,A
VU22CSEN0300078,MECH1001,2024-Spring,C
VU22CSEN0300078,CSE3002,2024-Spring,B
VU22CSEN0300078,CSE2001,2024-Spring,C
VU22CSEN0300078,CSE2002,2024-Spring,A
VU22CSEN0300079,MECH2002,2024-Spring,C
VU22CSEN0300079,CSE1002,2024-Spring,C
VU22CSEN0300079,CSE2002,2024-Spring,A
VU22CSEN0300079,CSE3002,2024-Spring,B
VU22MECHN0300080,CSE3002,2024-Spring,A
VU22MECHN0300080,MECH1001,2024-Spring,A
VU22MECHN0300080,CSE1001,2024-Spring,A
VU22MECHN0300080,MECH3001,2024-Spring,A
VU22MECHN0300081,CSE4002,2024-Spring,C
VU22MECHN0300081,MECH4001,2024-Spring,C
VU22MECHN0300081,CSE1001,2024-Spring,C
VU22MECHN0300081,CSE2002,2024-Spring,B
VU22CSEN0300082,CSE4002,2024-Spring,C
VU22CSEN0300082,MECH2001,2024-Spring,B
VU22CSEN0300082,CSE2002,2024-Spring,B
VU22CSEN0300082,CSE2001,2024-Spring,A
VU22MECHN0300083,CSE2003,2024-Spring,A
VU22MECHN0300083,MECH1001,2024-Spring,A
VU22MECHN0300083,CSE3001,2024-Spring,B
VU22MECHN0300083,CSE4002,2024-Spring,A
VU22CSEN0300084,CSE4002,2024-Spring,B
VU22CSEN0300084,CSE4001,2024-Spring,A
VU22CSEN0300084,MECH2001,2024-Spring,B
VU22CSEN0300084,CSE2002,2024-Spring,A
VU22CSEN0300085,MECH2001,2024-Spring,A
VU22CSEN0300085,CSE2001,2024-Spring,B
VU22CSEN0300085,CSE4002,2024-Spring,B
VU22CSEN0300085,CSE3002,2024-Spring,C
VU22MECHN0300086,CSE4001,2024-Spring,C
VU22MECHN0300086,MECH2002,2024-Spring,A
VU22MECHN0300086,MECH4001,2024-Spring,C
VU22MECHN0300086,CSE4002,2024-Spring,A
VU22MECHN0300087,CSE1002,2024-Spring,C
VU22MECHN0300087,CSE3002,2024-Spring,A
VU22MECHN0300087,CSE2002,2024-Spring,A
VU22MECHN0300087,CSE3003,2024-Spring,C
VU22CSEN0300088,CSE4001,2024-Spring,B
VU22CSEN0300088,MECH2002,2024-Spring,C
VU22CSEN0300088,CSE2002,2024-Spring,B
VU22CSEN0300088,MECH1001,2024-Spring,A
VU22CSEN0300089,MECH1001,2024-Spring,B
VU22CSEN0300089,CSE1002,2024-Spring,A
VU22CSEN0300089,MECH2001,2024-Spring,B
VU22CSEN0300089,CSE4001,2024-Spring,A
VU22MECHN0300090,MECH1001,2024-Spring,B
VU22MECHN0300090,MECH2002,2024-Spring,A
VU22MECHN0300090,CSE2003,2024-Spring,B
VU22MECHN0300090,MECH4001,2024-Spring,B
VU22MECHN0300091,CSE2001,2024-Spring,A
VU22MECHN0300091,CSE3002,2024-Spring,C
VU22MECHN0300091,CSE2002,2024-Spring,A
VU22MECHN0300091,CSE3003,2024-Spring,B
VU22CSEN0300092,MECH1001,2024-Spring,B
VU22CSEN0300092,CSE1001,2024-Spring,B
VU22CSEN0300092,MECH3001,2024-Spring,A
VU22CSEN0300092,CSE2002,2024-Spring,A
VU22CSEN0300093,MECH1001,2024-Spring,C
VU22CSEN0300093,MECH2001,2024-Spring,B
VU22CSEN0300093,CSE4001,2024-Spring,B
VU22CSEN0300093,MECH2002,2024-Spring,C
VU22CSEN0300094,CSE2001,2024-Spring,B
VU22CSEN0300094,CSE3002,2024-Spring,A
VU22CSEN0300094,CSE2003,2024-Spring,C
VU22CSEN0300094,CSE3003,2024-Spring,C
VU22MECHN0300095,CSE2001,2024-Spring,C
VU22MECHN0300095,MECH2001,2024-Spring,A
VU22MECHN0300095,CSE4001,2024-Spring,C
VU22MECHN0300095,CSE3002,2024-Spring,B
VU22MECHN0300096,MECH2002,2024-Spring,A
VU22MECHN0300096,CSE3001,2024-Spring,B
VU22MECHN0300096,CSE1002,2024-Spring,B
VU22MECHN0300096,CSE2003,2024-Spring,C
VU22MECHN0300097,CSE1002,2024-Spring,A
VU22MECHN0300097,CSE4001,2024-Spring,C
VU22MECHN0300097,CSE3001,2024-Spring,A
VU22MECHN0300097,CSE3003,2024-Spring,B
VU22CSEN0300098,MECH2001,2024-Spring,A
VU22CSEN0300098,MECH2002,2024-Spring,B
VU22CSEN0300098,CSE3002,2024-Spring,A
VU22CSEN0300098,CSE4001,2024-Spring,B
VU22MECHN0300099,CSE1002,2024-Spring,B
VU22MECHN0300099,MECH2001,2024-Spring,B
VU22MECHN0300099,CSE4002,2024-Spring,B
VU22MECHN0300099,CSE1001,2024-Spring,A
VU22CSEN0300100,MECH3001,2024-Spring,C
VU22CSEN0300100,CSE2001,2024-Spring,C
VU22CSEN0300100,CSE2003,2024-Spring,A
VU22CSEN0300100,CSE1002,2024-Spring,C
